patch_id,block_id,date_landsat,date_sentinel2,year,vegetation_type,s2_platform,landsat_platform,sentinel2_item_id,landsat_item_id,time_difference_days,absolute_time_difference_days,s2_ndvi,landsat_ndvi,s2_valid_sample_points,landsat_valid_sample_points,atmospheric_qa_metadata
C07_04_tree_E1,C07_04,2017-03-01,2017-02-28,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118039_20170301_02_T1,-1,1,0.454675743461125,0.3776537668324639,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_tree_E1,C07_04,2017-07-31,2017-07-28,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.6210098665118978,0.5400977923995979,2,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118038_20170309_02_T1,-2,2,0.2416481069042317,0.1340447026139664,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.2416481069042317,0.1564867923055914,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118038_20170715_02_T1,0,0,0.1708609271523178,0.2619246297654272,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.1708609271523178,0.2739136956847847,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118038_20170824_02_T1,3,3,0.2895350924430084,0.3923470953426339,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_grass_E1,C07_13,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.2895350924430084,0.4107462544059961,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_tree_E1,C07_13,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118038_20170309_02_T1,-2,2,0.5595895816890291,0.2994934571549175,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_13_tree_E1,C07_13,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.5595895816890291,0.3596905608043685,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
